,Date,State/UnionTerritory,Cured,Deaths,Confirmed,TotalSamples,Negative,Positive
1675,2020-01-30,Kerala,0,0,1,0.0,0,0.0
2716,2020-01-31,Kerala,0,0,1,0.0,0,0.0
1556,2020-02-01,Kerala,0,0,2,0.0,0,0.0
2636,2020-02-02,Kerala,0,0,3,0.0,0,0.0
3205,2020-02-03,Kerala,0,0,3,0.0,0,0.0
2958,2020-02-04,Kerala,0,0,3,0.0,0,0.0
769,2020-02-05,Kerala,0,0,3,0.0,0,0.0
2403,2020-02-06,Kerala,0,0,3,0.0,0,0.0
3776,2020-02-07,Kerala,0,0,3,0.0,0,0.0
2861,2020-02-08,Kerala,0,0,3,0.0,0,0.0
1760,2020-02-09,Kerala,0,0,3,0.0,0,0.0
2551,2020-02-10,Kerala,0,0,3,0.0,0,0.0
4054,2020-02-11,Kerala,0,0,3,0.0,0,0.0
1137,2020-02-12,Kerala,0,0,3,0.0,0,0.0
4125,2020-02-13,Kerala,0,0,3,0.0,0,0.0
3118,2020-02-14,Kerala,0,0,3,0.0,0,0.0
2718,2020-02-15,Kerala,0,0,3,0.0,0,0.0
3904,2020-02-16,Kerala,0,0,3,0.0,0,0.0
559,2020-02-17,Kerala,0,0,3,0.0,0,0.0
1457,2020-02-18,Kerala,0,0,3,0.0,0,0.0
1987,2020-02-19,Kerala,0,0,3,0.0,0,0.0
1335,2020-02-20,Kerala,0,0,3,0.0,0,0.0
2879,2020-02-21,Kerala,0,0,3,0.0,0,0.0
2883,2020-02-22,Kerala,0,0,3,0.0,0,0.0
3628,2020-02-23,Kerala,0,0,3,0.0,0,0.0
4362,2020-02-24,Kerala,0,0,3,0.0,0,0.0
1229,2020-02-25,Kerala,0,0,3,0.0,0,0.0
4389,2020-02-26,Kerala,0,0,3,0.0,0,0.0
1080,2020-02-27,Kerala,0,0,3,0.0,0,0.0
816,2020-02-28,Kerala,0,0,3,0.0,0,0.0
245,2020-02-29,Kerala,0,0,3,0.0,0,0.0
4032,2020-03-01,Kerala,0,0,3,0.0,0,0.0
4013,2020-03-02,Telengana,0,0,1,0.0,0,0.0
4096,2020-03-02,Delhi,0,0,1,0.0,0,0.0
692,2020-03-02,Kerala,0,0,3,0.0,0,0.0
1386,2020-03-03,Delhi,0,0,1,0.0,0,0.0
4011,2020-03-03,Rajasthan,0,0,1,0.0,0,0.0
338,2020-03-03,Telengana,0,0,1,0.0,0,0.0
2773,2020-03-03,Kerala,3,0,3,0.0,0,0.0
425,2020-03-04,Rajasthan,0,0,15,0.0,0,0.0
2291,2020-03-04,Delhi,0,0,1,0.0,0,0.0
1955,2020-03-04,Telengana,0,0,1,0.0,0,0.0
3256,2020-03-04,Uttar Pradesh,0,0,6,0.0,0,0.0
3992,2020-03-04,Haryana,0,0,2,0.0,0,0.0
2004,2020-03-04,Kerala,3,0,3,0.0,0,0.0
1528,2020-03-05,Uttar Pradesh,0,0,7,0.0,0,0.0
2073,2020-03-05,Telengana,0,0,1,0.0,0,0.0
920,2020-03-05,Delhi,0,0,2,0.0,0,0.0
3243,2020-03-05,Rajasthan,0,0,15,0.0,0,0.0
2052,2020-03-05,Haryana,0,0,2,0.0,0,0.0
1841,2020-03-05,Kerala,3,0,3,0.0,0,0.0
987,2020-03-06,Delhi,0,0,3,0.0,0,0.0
1388,2020-03-06,Rajasthan,0,0,15,0.0,0,0.0
2457,2020-03-06,Telengana,0,0,1,0.0,0,0.0
494,2020-03-06,Uttar Pradesh,0,0,7,0.0,0,0.0
817,2020-03-06,Kerala,3,0,3,0.0,0,0.0
3123,2020-03-06,Haryana,0,0,2,0.0,0,0.0
2589,2020-03-07,Ladakh,0,0,2,0.0,0,0.0
1999,2020-03-07,Kerala,3,0,3,0.0,0,0.0
3024,2020-03-07,Rajasthan,0,0,15,0.0,0,0.0
3691,2020-03-07,Uttar Pradesh,0,0,7,0.0,0,0.0
2539,2020-03-07,Telengana,0,0,1,0.0,0,0.0
4424,2020-03-07,Haryana,0,0,2,0.0,0,0.0
3989,2020-03-07,Tamil Nadu,0,0,1,0.0,0,0.0
1109,2020-03-07,Delhi,0,0,3,0.0,0,0.0
442,2020-03-08,Ladakh,0,0,2,0.0,0,0.0
3906,2020-03-08,Kerala,3,0,8,0.0,0,0.0
1417,2020-03-08,Rajasthan,0,0,15,0.0,0,0.0
346,2020-03-08,Tamil Nadu,0,0,1,0.0,0,0.0
285,2020-03-08,Haryana,0,0,2,0.0,0,0.0
771,2020-03-08,Delhi,0,0,3,0.0,0,0.0
419,2020-03-08,Telengana,0,0,1,0.0,0,0.0
3414,2020-03-08,Uttar Pradesh,0,0,7,0.0,0,0.0
244,2020-03-09,Telengana,0,0,1,0.0,0,0.0
2540,2020-03-09,Karnataka,0,0,1,0.0,0,0.0
2858,2020-03-09,Maharashtra,0,0,2,0.0,0,0.0
2571,2020-03-09,Haryana,0,0,2,0.0,0,0.0
3609,2020-03-09,Ladakh,0,0,2,0.0,0,0.0
135,2020-03-09,Rajasthan,0,0,15,0.0,0,0.0
1658,2020-03-09,Kerala,3,0,9,0.0,0,0.0
2014,2020-03-09,Delhi,0,0,4,0.0,0,0.0
2639,2020-03-09,Tamil Nadu,0,0,1,0.0,0,0.0
1051,2020-03-09,Punjab,0,0,1,0.0,0,0.0
4140,2020-03-09,Uttar Pradesh,0,0,7,0.0,0,0.0
1204,2020-03-09,Jammu and Kashmir,0,0,1,0.0,0,0.0
4398,2020-03-10,Karnataka,0,0,4,0.0,0,0.0
2907,2020-03-10,Maharashtra,0,0,5,0.0,0,0.0
2345,2020-03-10,Jammu and Kashmir,0,0,1,0.0,0,0.0
2325,2020-03-10,Punjab,0,0,1,0.0,0,0.0
4268,2020-03-10,Kerala,3,0,15,0.0,0,0.0
67,2020-03-10,Haryana,0,0,2,0.0,0,0.0
3041,2020-03-10,Delhi,0,0,4,0.0,0,0.0
3968,2020-03-10,Ladakh,0,0,2,0.0,0,0.0
3977,2020-03-10,Telengana,0,0,1,0.0,0,0.0
2734,2020-03-10,Uttar Pradesh,0,0,7,0.0,0,0.0
3195,2020-03-10,Tamil Nadu,0,0,1,0.0,0,0.0
1829,2020-03-10,Rajasthan,0,0,15,0.0,0,0.0
2823,2020-03-11,Telengana,0,0,1,0.0,0,0.0
3576,2020-03-11,Rajasthan,0,0,3,0.0,0,0.0
1187,2020-03-11,Jammu and Kashmir,0,0,1,0.0,0,0.0
3097,2020-03-11,Maharashtra,0,0,2,0.0,0,0.0
421,2020-03-11,Haryana,0,0,14,0.0,0,0.0
698,2020-03-11,Karnataka,0,0,4,0.0,0,0.0
3600,2020-03-11,Delhi,0,0,5,0.0,0,0.0
934,2020-03-11,Tamil Nadu,0,0,1,0.0,0,0.0
3322,2020-03-11,Punjab,0,0,1,0.0,0,0.0
4259,2020-03-11,Uttar Pradesh,0,0,9,0.0,0,0.0
0,2020-03-11,Ladakh,0,0,2,0.0,0,0.0
1300,2020-03-11,Kerala,3,0,17,0.0,0,0.0
4368,2020-03-12,Jammu and Kashmir,0,0,1,0.0,0,0.0
3104,2020-03-12,Punjab,0,0,1,0.0,0,0.0
3936,2020-03-12,Tamil Nadu,0,0,1,0.0,0,0.0
3722,2020-03-12,Rajasthan,0,0,3,0.0,0,0.0
868,2020-03-12,Maharashtra,0,0,11,0.0,0,0.0
1909,2020-03-12,Andhra Pradesh,0,0,1,0.0,0,0.0
230,2020-03-12,Uttar Pradesh,0,0,11,0.0,0,0.0
3916,2020-03-12,Haryana,0,0,14,0.0,0,0.0
3527,2020-03-12,Karnataka,0,0,4,0.0,0,0.0
2221,2020-03-12,Telengana,0,0,1,0.0,0,0.0
65,2020-03-12,Ladakh,0,0,3,0.0,0,0.0
2690,2020-03-12,Kerala,3,0,17,0.0,0,0.0
4012,2020-03-12,Delhi,0,0,6,0.0,0,0.0
251,2020-03-13,Tamil Nadu,0,0,1,0.0,0,0.0
3798,2020-03-13,Punjab,0,0,1,0.0,0,0.0
3109,2020-03-13,Ladakh,0,0,3,0.0,0,0.0
